C,NEMP.WORLD,PREDISPATCHIS,AEMO,PUBLIC,2020/03/19,12:01:14,0000000320548349,PREDISPATCHIS,0000000320548346
I,PREDISPATCH,CASE_SOLUTION,1,PREDISPATCHSEQNO,RUNNO,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,INTERVENTION
D,PREDISPATCH,CASE_SOLUTION,1,2020031917,1,18,,0,527833346.7460,0,0,0,0,179,,,,,0,0,0,"2020/03/19 12:00:48",0
I,PREDISPATCH,LOCAL_PRICE,1,PREDISPATCHSEQNO,DATETIME,DUID,PERIODID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:00:00",FISHER,16,-3.45,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:30:00",FISHER,17,-0.63,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:30:00",GORDON,13,-1.26,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:00:00",GORDON,16,-12.33,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:30:00",GORDON,17,-2.26,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 16:30:00",GRANWF1,09,-24.46,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 17:00:00",GRANWF1,10,-24.01,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 17:30:00",GRANWF1,11,-24,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:00:00",GRANWF1,12,-24.13,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:30:00",GRANWF1,13,-24.47,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 19:00:00",GRANWF1,14,-23.94,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 19:30:00",GRANWF1,15,-21.7,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:00:00",GRANWF1,16,-27.87,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:30:00",GRANWF1,17,-22.54,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",HALLWF1,01,-363.74,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",HALLWF1,02,-155.67,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",HALLWF1,03,-155.81,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",HALLWF1,04,-155.78,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",HALLWF1,05,-156.38,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",HALLWF1,06,-155.82,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",HALLWF1,07,-156.38,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",HALLWF2,01,-272.13,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",HALLWF2,02,-116.47,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",HALLWF2,03,-116.57,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",HALLWF2,04,-116.55,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",HALLWF2,05,-117,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",HALLWF2,06,-116.58,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",HALLWF2,07,-117,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",HDWF1,01,-448.52,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",HDWF1,02,-191.96,2,"2020/03/19 12:00:48"
